timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional,RPI
1763251202.8146,BTCUSDT,Buy,0.001,95570.00,PlusTick,14421c77-2428-5ab8-9cb3-47def9751fdc,9.557e+09,0.001,95.57000000000001,0
1763251202.8146,BTCUSDT,Buy,0.001,95570.00,ZeroPlusTick,53e34cbb-14a1-55e2-98f2-0ddf0ae9b79a,9.557e+09,0.001,95.57000000000001,0
1763251202.8146,BTCUSDT,Buy,0.001,95570.10,PlusTick,f49b5fee-b8cb-574a-989c-1493c7c67de5,9.557010000000002e+09,0.001,95.57010000000001,0
1763251202.8146,BTCUSDT,Buy,0.001,95572.40,PlusTick,0f8b917d-af23-56db-879c-906cada3c89e,9.55724e+09,0.001,95.5724,0
1763251202.8278,BTCUSDT,Buy,0.001,95572.70,PlusTick,162e9eea-528f-5db8-b50d-e99f657c6127,9.55727e+09,0.001,95.5727,0
1763251202.8282,BTCUSDT,Buy,0.002,95572.70,ZeroPlusTick,d90f08d0-06b5-5817-a016-cb10b86958a5,1.911454e+10,0.002,191.1454,0
1763251202.9569,BTCUSDT,Buy,0.106,95572.70,ZeroPlusTick,4d1a1406-1bdb-594d-9b2a-d3feb02bbf08,1.0130706199999999e+12,0.106,10130.706199999999,0
1763251202.9693,BTCUSDT,Buy,0.066,95572.70,ZeroPlusTick,fb03016c-5b09-599d-8f1b-41e150833d80,6.3077982e+11,0.066,6307.7982,0
1763251202.9693,BTCUSDT,Buy,0.002,95572.70,ZeroPlusTick,87c60b36-5f4e-5f91-b656-26310ea1d3d3,1.911454e+10,0.002,191.1454,0
1763251202.9693,BTCUSDT,Buy,0.001,95572.70,ZeroPlusTick,f3857932-09d6-5c67-86b4-c7b37d796006,9.55727e+09,0.001,95.5727,0
1763251202.9774,BTCUSDT,Buy,0.001,95573.50,PlusTick,bbf6b49d-9241-5a60-8090-d5b5ee8a18ba,9.55735e+09,0.001,95.5735,0
1763251202.9774,BTCUSDT,Buy,0.001,95573.50,ZeroPlusTick,11f8b3ef-5ee9-5e4f-99f1-34715d06dc99,9.55735e+09,0.001,95.5735,0
1763251202.9774,BTCUSDT,Buy,0.001,95575.50,PlusTick,87288636-6bd9-5021-b4a2-2c07af112771,9.55755e+09,0.001,95.5755,0
1763251202.9774,BTCUSDT,Buy,0.001,95576.80,PlusTick,cd9c714e-a816-52b1-b317-7dc417298d61,9.55768e+09,0.001,95.5768,0
1763251202.9774,BTCUSDT,Buy,0.001,95577.20,PlusTick,155d8262-b053-52c2-bdbd-a5740632cdbe,9.55772e+09,0.001,95.5772,0
1763251202.9774,BTCUSDT,Buy,0.001,95577.30,PlusTick,19e210c1-fd9c-53ab-9e89-8bac4e6d1d97,9.55773e+09,0.001,95.57730000000001,0
1763251202.9774,BTCUSDT,Buy,0.002,95577.40,PlusTick,c16b1c57-c255-5e34-b95e-a062ec304768,1.911548e+10,0.002,191.1548,0
1763251202.9867,BTCUSDT,Buy,0.001,95577.50,PlusTick,d854717b-a497-599d-bf5c-aea7e2cec4c4,9.55775e+09,0.001,95.5775,0
